city,category,year,count,region,total_count,cumulative_count
Agra,total_accidents,2011,1299,non_metro,5367,1299
Ahmedabad,total_accidents,2011,2020,non_metro,9237,2020
Allahabad,total_accidents,2011,NA,non_metro,4178,NA
Amritsar,total_accidents,2011,NA,non_metro,602,NA
Asansol-Durgapur,total_accidents,2011,368,non_metro,2070,368
Aurangabad,total_accidents,2011,719,non_metro,3213,719
Bengaluru,total_accidents,2011,6031,metro,26592,6031
Bhopal,total_accidents,2011,3459,non_metro,17456,3459
Chandigarh,total_accidents,2011,NA,non_metro,1614,NA
Chennai,total_accidents,2011,NA,metro,36306,NA
Coimbatore,total_accidents,2011,1126,non_metro,6661,1126
Delhi,total_accidents,2011,7281,metro,38492,7281
Dhanbad,total_accidents,2011,138,non_metro,986,138
Faridabad,total_accidents,2011,803,non_metro,3615,803
Ghaziabad,total_accidents,2011,1109,non_metro,4556,1109
Gwalior,total_accidents,2011,2030,non_metro,10037,2030
Hyderabad,total_accidents,2011,2651,metro,13488,2651
Indore,total_accidents,2011,4995,non_metro,27601,4995
Jabalpur,total_accidents,2011,2906,non_metro,15262,2906
Jaipur,total_accidents,2011,2002,non_metro,9402,2002
Jamshedpur,total_accidents,2011,447,non_metro,1838,447
Jodhpur,total_accidents,2011,526,non_metro,2812,526
Kannur,total_accidents,2011,557,non_metro,2962,557
Kanpur,total_accidents,2011,NA,non_metro,5273,NA
Khozikode,total_accidents,2011,NA,non_metro,5085,NA
Kochi,total_accidents,2011,1986,non_metro,11332,1986
Kolkata,total_accidents,2011,3133,metro,20415,3133
Kollam,total_accidents,2011,1668,non_metro,8272,1668
Kota,total_accidents,2011,616,non_metro,3436,616
Lucknow,total_accidents,2011,1270,non_metro,6453,1270
Ludhiana,total_accidents,2011,444,non_metro,2357,444
Madurai,total_accidents,2011,685,non_metro,3947,685
Mallapuram,total_accidents,2011,2694,non_metro,13659,2694
Meerut,total_accidents,2011,886,non_metro,4701,886
Mumbai,total_accidents,2011,25471,metro,119613,25471
Nagpur,total_accidents,2011,1231,non_metro,5982,1231
Nashik,total_accidents,2011,NA,non_metro,4521,NA
Patna,total_accidents,2011,1225,non_metro,5482,1225
Pune,total_accidents,2011,261,metro,6587,261
Raipur,total_accidents,2011,NA,non_metro,8750,NA
Rajkot,total_accidents,2011,1039,non_metro,4366,1039
Srinagar,total_accidents,2011,492,non_metro,2285,492
Surat,total_accidents,2011,1223,non_metro,5217,1223
Thiruvananthapuram,total_accidents,2011,NA,non_metro,8139,NA
Thrissur,total_accidents,2011,1262,non_metro,6570,1262
Tiruchirapalli,total_accidents,2011,NA,non_metro,2958,NA
Vadodara,total_accidents,2011,1343,non_metro,6034,1343
Varanasi,total_accidents,2011,142,non_metro,1772,142
Vijayawada City,total_accidents,2011,NA,non_metro,6409,NA
Visakhapatnam,total_accidents,2011,1548,non_metro,7737,1548
Agra,killed,2011,632,non_metro,2538,632
